Category,Setting/Rule,Repo Type: Mobile Apps,Repo Type: Web Apps,Repo Type: Internal Tools,Repo Type: Shared Libraries,Repo Type: Infrastructure,Description/Notes,Priority,SRE Notes
Actions & CI,OIDC Token Permissions,FALSE,FALSE,FALSE,FALSE,FALSE,Allow OIDC token access,Medium,
Security & Secrets,Secret Scanning,TRUE,TRUE,FALSE,FALSE,FALSE,Enable secret scanning,High,
Security & Secrets,Push Protection,TRUE,TRUE,FALSE,FALSE,FALSE,Block pushes with secrets,High,
Security & Secrets,Dependabot Alerts,TRUE,TRUE,TRUE,TRUE,FALSE,Enable Dependabot security alerts,High,
Security & Secrets,Dependabot Updates,FALSE,TRUE,TRUE,TRUE,FALSE,Enable Dependabot version updates,Medium,
Security & Secrets,Code Scanning / SAST,TRUE,TRUE,FALSE,FALSE,FALSE,Enable code scanning (CodeQL),High,
Security & Secrets,Private Vulnerability Reporting,FALSE,FALSE,TRUE,TRUE,FALSE,Allow private vulnerability reports,Medium,
Security & Secrets,Required 2FA for Contributors,TRUE,TRUE,TRUE,TRUE,TRUE,Require 2FA for all contributors,High,
Security & Secrets,Deploy Keys Allowed,TRUE (read-only),TRUE (read-only),FALSE,FALSE,FALSE,Allow deploy keys,Medium,
Security & Secrets,Environment Protection Rules,TRUE,TRUE,FALSE,FALSE,FALSE,Require environment approvals,High,
Security & Secrets,Required Signatures,FALSE,FALSE,FALSE,FALSE,FALSE,Require commit signing,Medium,
Code Quality,Require CODEOWNERS File,TRUE,TRUE,FALSE,TRUE,FALSE,Require CODEOWNERS file exists,High,
Code Quality,Require LICENSE File,TRUE,TRUE,FALSE,TRUE,FALSE,Require LICENSE file exists,Medium,
Code Quality,Require README File,TRUE,TRUE,TRUE,TRUE,FALSE,Require README file exists,Medium,
Code Quality,Require CONTRIBUTING File,FALSE,FALSE,TRUE,TRUE,FALSE,Require CONTRIBUTING file exists,Low,
Code Quality,Require SECURITY File,FALSE,FALSE,TRUE,TRUE,TRUE,Require SECURITY.md file exists,Medium,
Code Quality,Require Pull Request Template,TRUE,TRUE,FALSE,TRUE,FALSE,Require PR template,Medium,
Code Quality,Require Issue Templates,TRUE,TRUE,TRUE,FALSE,FALSE,Require issue templates,Low,
Code Quality,Require Commit Message Convention,TRUE,TRUE,FALSE,TRUE,FALSE,Enforce commit message format,Medium,
Code Quality,Require Signed Commits,FALSE,FALSE,FALSE,FALSE,FALSE,Require GPG signed commits,Medium,
Notifications & Automation,Auto-Link Jira/Tickets,TRUE,TRUE,TRUE,TRUE,FALSE,Auto-link to issue tracker,Medium,
Notifications & Automation,Slack Notifications,TRUE,TRUE,TRUE,FALSE,TRUE,Send notifications to Slack,Medium,
Notifications & Automation,Auto-Assign PRs,TRUE,TRUE,FALSE,TRUE,FALSE,Auto-assign PRs based on CODEOWNERS,Medium,
Notifications & Automation,Stale PR Automation,TRUE,TRUE,TRUE,TRUE,TRUE,Auto-label/close stale PRs,Low,
Notifications & Automation,Auto-Merge Enabled,FALSE,FALSE,FALSE,TRUE,FALSE,Enable auto-merge feature,Medium,
Notifications & Automation,Require Linked Issues,TRUE,TRUE,FALSE,FALSE,FALSE,Require PRs to have linked issues,Medium,
Required Workflows,Workflow: PR Checks,Required,Required,Required,Required,Required,Mandatory workflow: test lint build,High,
Required Workflows,Workflow: Security Scanning,Required,Required,Optional,Optional,Optional,Mandatory: secret scanning SAST,High,
Required Workflows,Workflow: Dependency Check,Required,Required,Optional,Required,Optional,Mandatory: dependency vulnerability scan,High,
Required Workflows,Workflow: License Compliance,FALSE,TRUE,FALSE,TRUE,FALSE,Check license compliance on dependencies,Medium,
Required Workflows,Workflow: Code Quality Gate,Required,Required,FALSE,Required,FALSE,Mandatory: SonarQube or similar quality gate,High,
Required Workflows,Workflow: Deploy Pipeline,FALSE,FALSE,FALSE,FALSE,Required,Mandatory: deployment workflow for infra changes,High,
Required Workflows,Workflow: Documentation Sync,FALSE,TRUE,TRUE,TRUE,FALSE,Auto-sync docs to wiki/pages,Low,
Required Workflows,Workflow: Release Automation,Required,Required,FALSE,Required,FALSE,Auto-create releases with notes,Medium,
Required Workflows,Workflow: Stale Issue/PR Management,TRUE,TRUE,TRUE,TRUE,TRUE,Auto-label and close stale items,Low,
Required Workflows,Workflow: Contributor License Check,FALSE,FALSE,FALSE,TRUE,FALSE,Verify CLA/DCO for external contributors,Medium,
Required Workflows,Workflow: Performance Regression,Required,TRUE,FALSE,FALSE,FALSE,Performance tests on PRs,Medium,
Required Workflows,Workflow: Accessibility Scan,TRUE,TRUE,FALSE,FALSE,FALSE,a11y testing for UI repos,Medium,
Required Workflows,Workflow: Container Build/Push,TRUE,TRUE,FALSE,FALSE,FALSE,Build and push Docker images,Medium,
Workflow Settings,Reusable Workflow Source,org/.github,org/.github,org/.github,org/.github,org/.github,Central repo for reusable workflows,High,
Workflow Settings,Required Workflow Source,org/required-workflows,org/required-workflows,org/required-workflows,org/required-workflows,org/required-workflows,Org-level mandatory workflow repo,High,
Workflow Settings,Allow Self-Approved Workflows,FALSE,FALSE,FALSE,FALSE,FALSE,Allow workflows without review,High,
Workflow Settings,Timeout Minutes (default),30,30,20,30,60,Default workflow timeout,Medium,
Workflow Settings,Concurrency Control,TRUE,TRUE,TRUE,TRUE,TRUE,Cancel outdated workflow runs,Medium,
Workflow Settings,Workflow Permissions,read-all,read-all,read-all,read-all,read-all,Default workflow permissions,High,
Merge Requirements,Required CI Checks (list),ci/test ci/lint ci/build,ci/test ci/lint ci/build ci/e2e,ci/test,ci/test ci/lint,ci/lint terraform/plan,List required status checks,High,
Merge Requirements,Require Up-to-Date,TRUE,TRUE,FALSE,TRUE,TRUE,Require branch up-to-date before merge,High,
Merge Requirements,Merge Strategy Default,Squash,Squash,Merge,Squash,Merge,Default merge strategy,High,
Merge Requirements,Require Linear History,FALSE,FALSE,TRUE,TRUE,FALSE,Require linear commit history,Medium,
Merge Requirements,Require Branches Up-to-Date,TRUE,TRUE,TRUE,TRUE,TRUE,Require branches be up-to-date,High,
Special Features,GitHub Pages Enabled,FALSE,TRUE (docs),TRUE (docs),TRUE (docs),FALSE,Enable GitHub Pages,Low,
Special Features,Packages/Container Registry,TRUE,TRUE,FALSE,TRUE,FALSE,Use GitHub Packages/Container Registry,Medium,
Special Features,Sponsorships Enabled,FALSE,FALSE,FALSE,FALSE,FALSE,Enable GitHub Sponsors,Low,
Special Features,Repository Rulesets (Beta),TRUE,TRUE,TRUE,TRUE,TRUE,Use new rulesets feature instead of branch protection,Medium,
Special Features,Repository Variables,TRUE,TRUE,TRUE,TRUE,TRUE,Use repository-level variables,Medium,
Compliance & Audit,Require Audit Log Access,TRUE,TRUE,TRUE,TRUE,TRUE,Ensure audit logs are accessible,High,
Compliance & Audit,Repository Activity Tracking,TRUE,TRUE,TRUE,TRUE,TRUE,Track all repository activities,Medium,
Compliance & Audit,Required Retention Period,7 years,7 years,3 years,7 years,7 years,Data retention requirements,Medium,
Compliance & Audit,Require DCO,FALSE,FALSE,FALSE,TRUE,FALSE,Require Developer Certificate of Origin,Low,
Archival & Lifecycle,Archive On Inactivity,FALSE,FALSE,TRUE,TRUE,FALSE,Auto-archive inactive repos,Low,
Archival & Lifecycle,Transfer On Deprecation,FALSE,FALSE,TRUE,TRUE,FALSE,Transfer ownership on deprecation,Low,
Archival & Lifecycle,Require Deprecation Notice,FALSE,FALSE,TRUE,TRUE,FALSE,Require deprecation notice before archival,Low,
